n,uhap_off_median_ms,uhap_off_p95_ms,uhap_off_mean_ms,uhap_off_n,uhap_on_median_ms,uhap_on_p95_ms,uhap_on_mean_ms,uhap_on_n,trad_median_ms,trad_p95_ms,trad_mean_ms,trad_n,speedup_off,speedup_on
10,0.015569,0.019062999999999993,0.015952152,1000,0.001734,0.001794,0.0017513449999999999,1000,0.02689,0.02782295,0.027027708,1000,1.7271501059798318,15.507497116493656
50,0.015438,0.016061,0.015535762000000002,1000,0.001793,0.0018544499999999995,0.001809034,1000,0.026008,0.0266125,0.026161262999999997,1000,1.684674180593341,14.505298382598996
100,0.015459,0.01590095,0.015541207,1000,0.001754,0.001823,0.0017715510000000001,1000,0.025798,0.028896999999999996,0.026530864,1000,1.668801345494534,14.708095781071837
200,0.01561,0.017477099999999957,0.016054206,1000,0.001744,0.001804,0.0017591730000000002,1000,0.025177,0.0376705,0.026728118999999998,1000,1.6128763613068546,14.436353211009175
300,0.015369,0.01589045,0.015479832000000002,1000,0.001773,0.001833,0.001781356,1000,0.026349,0.0274515,0.026563223,1000,1.7144251415186413,14.861252115059221
500,0.0156395,0.016661999999999996,0.015788107,1000,0.001803,0.0018644499999999995,0.001813538,1000,0.025968,0.027253,0.026232337999999997,1000,1.6604111384635059,14.402662229617306
750,0.015719,0.025420449999999997,0.017514164000000002,1000,0.001743,0.001803,0.0017505289999999998,1000,0.025398,0.026424449999999995,0.025603569,1000,1.6157516381449202,14.571428571428571
1000,0.015379,0.016060500000000002,0.015501348,1000,0.001773,0.00183305,0.001782027,1000,0.025292500000000002,0.026732999999999996,0.025389860999999996,1000,1.6446127836660382,14.26536943034405
